source_file,batch_id,run_timestamp,line_number,paper_id,title,paper_url,published,lead_author,lead_author_surname,author_surnames,raw_json
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,1,1806.06853v1,A Hybrid Fuzzy Regression Model for Optimal Loss Reserving in Insurance,http://arxiv.org/abs/1806.06853v1,2018-06-18T08:21:13+00:00,Woundjiagué Apollinaire,Apollinaire,Apollinaire; Doux; Ronald,"{""relevance_score"": 7, ""is_relevant"": true, ""needs_summary"": false, ""summary"": null, ""key_insight"": """", ""paper_id"": ""1806.06853v1""}"
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,2,1802.05437v2,Optimization of the light intensity for Photodetectors calibration,http://arxiv.org/abs/1802.05437v2,2018-02-15T08:53:36+00:00,N. Anfimov,Anfimov,Anfimov; Rybnikov; Sotnikov,"{""relevance_score"": 0, ""is_relevant"": false, ""needs_summary"": false, ""summary"": null, ""key_insight"": """", ""paper_id"": ""1802.05437v2""}"
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,3,1911.12405v1,Modelling dependence within and across run-off triangles for claims reserving,http://arxiv.org/abs/1911.12405v1,2019-11-27T20:06:08+00:00,Luis E. Nieto-Barajas,Nieto-Barajas,Nieto-Barajas; Targino,"{""relevance_score"": 8, ""is_relevant"": true, ""needs_summary"": false, ""summary"": null, ""key_insight"": """", ""paper_id"": ""1911.12405v1""}"
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,4,1806.04530v1,A Least Squares Estimation of a Hybrid log-Poisson Regression and its Goodness of Fit for Optimal Loss Reserves in Insurance,http://arxiv.org/abs/1806.04530v1,2018-06-10T19:24:18+00:00,Apollinaire Woundjiague,Woundjiague,Woundjiague; Bidima; Mwangi,"{""relevance_score"": 7, ""is_relevant"": true, ""needs_summary"": false, ""summary"": null, ""key_insight"": """", ""paper_id"": ""1806.04530v1""}"
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,5,2301.01966v1,Ruin Probabilities for a Sparre Andersen Model with Investments: the Case of Annuity Payments,http://arxiv.org/abs/2301.01966v1,2023-01-05T09:04:12+00:00,Yuri Kabanov,Kabanov,Kabanov; Promyslov,"{""relevance_score"": 2, ""is_relevant"": false, ""needs_summary"": false, ""summary"": null, ""key_insight"": """", ""paper_id"": ""2301.01966v1""}"
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,6,1911.11484v2,Using Depth for Pixel-Wise Detection of Adversarial Attacks in Crowd Counting,http://arxiv.org/abs/1911.11484v2,2019-11-26T12:12:34+00:00,Weizhe Liu,Liu,Liu; Salzmann; Fua,"{""relevance_score"": 1, ""is_relevant"": false, ""needs_summary"": true, ""summary"": ""The exploresarial attack in crowd counting using depth estimation as a secondary task, showing improved detection over heuristic methods."", ""key_insight"": """", ""paper_id"": ""1911.11484v2""}"
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,7,1911.06187v1,Concordance probability in a big data setting: application in non-life insurance,http://arxiv.org/abs/1911.06187v1,2019-11-14T15:42:36+00:00,Robin Van Oirbeek,Oirbeek,Oirbeek; Grumiau; Verdonck,"{""relevance_score"": 3, ""is_relevant"": false, ""needs_summary"": false, ""summary"": null, ""key_insight"": """", ""paper_id"": ""1911.06187v1""}"
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,8,1711.07753v1,Price Optimisation for New Business,http://arxiv.org/abs/1711.07753v1,2017-11-21T12:39:03+00:00,Maissa Tamraz,Tamraz,Tamraz; Yang,"{""relevance_score"": 1, ""is_relevant"": false, ""needs_summary"": true, ""summary"": null, ""key_insight"": ""The paper addresses new business pricing optimization under competitive market conditions, which is not directly relevant to claims or loss reserving."", ""paper_id"": ""1711.07753v1""}"
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,9,1701.00900v1,Robust Localization Using Range Measurements with Unknown and Bounded Errors,http://arxiv.org/abs/1701.00900v1,2017-01-04T05:27:13+00:00,Xiufang Shi,Shi,Shi; Mao; Anderson; Yang; Chen,"{""relevance_score"": 0, ""is_relevant"": false, ""needs_summary"": false, ""summary"": null, ""key_insight"": ""The method provides robust localization under bounded measurement errors without requiring statistical error distributions, but has no practical relevance to actuarial reserving."", ""paper_id"": ""1701.00900v1""}"
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,10,2012.06756v1,Gap Reduced Minimum Error Robust Simultaneous Estimation For Unstable Nano Air Vehicle,http://arxiv.org/abs/2012.06756v1,2020-12-12T08:43:06+00:00,Jinraj V Pushpangathan,Pushpangathan,Pushpangathan; Kandath; Sundaram; Sundararajan,"{""relevance_score"": 0, ""is_relevant"": false, ""needs_summary"": true, ""summary"": "" paper introduces a robust estimator for unstable nano aerial vehicles using gap-reducing compensators and genetic algorithms, aimed at improving state under uncertainty in flight dynamics."", ""key_insight"": """", ""paper_id"": ""2012.06756v1""}"
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,11,1804.08650v2,Bayesian Bandwidth Test and Selection for High-dimensional Banded Precision Matrices,http://arxiv.org/abs/1804.08650v2,2018-04-23T18:21:40+00:00,Kyoungjae Lee,Lee,Lee; Lin,"{""relevance_score"": 2, ""is_relevant"": false, ""needs_summary"": true, ""summary"": "" paper introduces a Bayesian method for bandwidth in high-dimensional banded precision matrices, with theoretical guarantees and simulation results showing improved performance existing methods."", ""key_insight"": ""This work advances Bayesian bandwidth selection for precision matrices but lacks direct or transferable relevance to actuarial claims reserving or loss."", ""paper_id"": ""1804.08650v2""}"
batch_8514fc94-55cc-4a04-97b5-02e6f97a58d7_20260408_162305_parsed_success.jsonl,8514fc94-55cc-4a04-97b5-02e6f97a58d7,20260408_162305,12,1806.01513v1,Accounting for Uncertainty About Past Values In Probabilistic Projections of the Total Fertility Rate for All Countries,http://arxiv.org/abs/1806.01513v1,2018-06-05T06:31:06+00:00,Peiran Liu,Liu,Liu; Raftery,"{""relevance_score"": 2, ""is_relevant"": false, ""needs_summary"": false, ""summary"": null, ""key_insight"": ""Accounting for uncertainty in past data improves the calibration of future probabilistic forecasts in demographic modeling."", ""paper_id"": ""1806.01513v1""}"
